Name,ParentOrg,OrgID,Address,Latitude,Longitude,Geocoder Display Name
Artspace Library,Artspace,3945,43-51 Cowper Wharf Road WOOLLOOMOOLOO NSW 2011 AUSTRALIA,,,
Arundel State School Resource Centre,Arundel State School,4692,Corner of Napper Road & Arundel Drive ARUNDEL QLD 4214 AUSTRALIA,,,
Arup Melbourne Office Library,Arup,1289,"Arup, Sky Park One Melbourne Quarter 699 Collins Street MELBOURNE VIC 3008 AUSTRALIA",,,
Ascham School: Margaret Bailey Library,,335657,188 New South Head Road EDGECLIFF NSW 2027 AUSTRALIA,-33.877319299999996,151.2363406589103,"Ascham, 188, New South Head Road, Edgecliff, Eastern Suburbs, Sydney, Woollahra Municipal Council, New South Wales, 2027, Australia"
Ascot State School Resource Centre,Ascot State School,4689,Pringle Street ASCOT QLD 4007 AUSTRALIA,-27.4324989,153.0555201,"Pringle Street, Ascot, Brisbane City, Queensland, 4007, Australia"
Ascot Vale Library,Moonee Valley Libraries,3644,165 Union Road ASCOT VALE VIC 3032 AUSTRALIA,-37.7804455,144.9146973,"Union Road, Ascot Vale, Melbourne, City of Moonee Valley, Victoria, 3032, Australia"
Ashburton Library,City of Boroondara Library Service,4017,154 High Street ASHBURTON VIC 3147 AUSTRALIA,-37.8633305,145.0768371,"Ashburton Library, 154, High Street, Ashburton, Melbourne, City of Boroondara, Victoria, 3147, Australia"
Ashfield Municipal Library,Inner West Council,7470,"1st Floor, Civic Centre 260 Liverpool Road ASHFIELD NSW 2131 AUSTRALIA",,,
Ashford Branch Library,Inverell Shire Public Library,7792,Albury Street ASHFORD NSW 2361 AUSTRALIA,-29.3222231,151.0956295,"Albury Street, Ashford, Inverell Shire Council, New South Wales, 2361, Australia"
Ashgrove Library,Brisbane City Council Library Service,9397,87 Amarina Avenue ASHGROVE QLD 4060 AUSTRALIA,-27.44398145,152.98705511267667,"Ashgrove Library, 87, Amarina Avenue, Ashgrove, Greater Brisbane, Queensland, 4060, Australia"
Ashmore State School Library,Ashmore State School,8871,Currumburra Road ASHMORE QLD 4214 AUSTRALIA,-27.9769802,153.3809679,"Currumburra Road, Ashmore, Gold Coast City, Queensland, 4214, Australia"
Ashurst Library,,8830,"Level 38, Riverside Centre 123 Eagle Street BRISBANE QLD 4001 AUSTRALIA",,,
Asia Pacific Collection,R.G. Menzies Library,329497,R.G. Menzies Building (#02) Fellows Road Canberra ACT 0200 AUSTRALIA,,,
Asia Pacific Journal of Arts and Cultural Management,University of South Australia Library,329318,Electronic Resource N/A SA N/A AUSTRALIA,,,
Asian Copper Information Centre,Copper Development Centre,8781,"Suite 1, Level 7, Westfield Towers 100 William Street SYDNEY NSW 2011 AUSTRALIA",,,
Asperger Syndrome Support Network Resource Library,Asperger Syndrome Support Network,9509,54 Railway Road BLACKBURN VIC 3130 AUSTRALIA,-37.8195288,145.1538353,"54, Railway Road, Blackburn, Melbourne, City of Whitehorse, Victoria, 3130, Australia"
Aspley East State School Library,Aspley East State School,6255,31 Helena Street ASPLEY QLD 4034 AUSTRALIA,-27.36227,153.0234218,"Helena Street, Aspley, Greater Brisbane, Queensland, 4034, Australia"
Association for the Wellbeing of Children in Healthcare,,8417,Gladesville Hospital Building 40B (Cnr Victoria & Punt Roads) GLADESVILLE NSW 2111 AUSTRALIA,,,
Association of Blind Citizens of NSW Library,Association of Blind Citizens of New South Wales,6785,Shirley House 11a Ethel Street BURWOOD NSW 2134 AUSTRALIA,,,
Association of Ukrainians in Victoria Library,Association of Ukrainians in Victoria,11438,3-11 Russell Street ESSENDON VIC 3040 AUSTRALIA,-37.7561187,144.91679,"The Association of Ukrainians in Victoria, 3-11, Russell Street, Essendon, Melbourne, City of Moonee Valley, Victoria, 3040, Australia"
Assumption Seminary,Capuchin Franciscan Friars,270,Jersey Road PLUMPTON NSW 2761 AUSTRALIA,-33.7444135,150.8422516,"Jersey Road, Plumpton, Sydney, Blacktown City Council, New South Wales, 2761, Australia"
Astronomical Library,Astronomical Society of South Australia,628,Physics Building University of Adelaide (North Terrace) ADELAIDE SA AUSTRALIA,,,
Astronomical Society of WA Library,Astronomical Society of Western Australia Inc.,7941,Astronomical Society of WA (Inc.) SUBIACO WA 6008 AUSTRALIA,,,
Astronomy Branch Library,Australian National University Library,5673,Mount Stromlo Observatory Cotter Road WESTON ACT 2611 AUSTRALIA,,,
Atheist Foundation of Australia Library,Atheist Foundation of Australia Inc.,5671,PRIVATE MAIL BAG 6 MAITLAND SA 5573 AUSTRALIA,,,
Atherton Library,Tablelands Regional Libraries,13558,16 Robert Street ATHERTON QLD 4883 AUSTRALIA,-17.26874395,145.4789436528285,"Atherton Library, 16, Robert Street, Atherton, Tablelands Regional, Queensland, 4883, Australia"
Atherton Library,The Theosophical Society in Australia,5324,Street Atherton QLD 4883 AUSTRALIA,,,
Athletics Victoria,,336229,The Trophy Monitor P.O. Box 4249 Frankston Heights VIC AUSTRALIA,,,
Attorney General's Department,,7755,4 National Circuit BARTON ACT 2600 AUSTRALIA,-35.3059174,149.1340462009382,"4, National Circuit, Barton, South Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia"
Auburn Hospital Library,Western Sydney Local Health District,5320,18-20 Hargrave Road AUBURN NSW 2144 AUSTRALIA,-33.8593592,151.0326522,"Hargrave Road, Auburn, Sydney, Cumberland City Council, New South Wales, 2144, Australia"
Auburn Library,Cumberland Council,8107,Civic Place 1 Susan Street AUBURN NSW 2144 AUSTRALIA,,,
Auchmuty Library,University of Newcastle Library,340497,University Drive CALLAGHAN NSW 2308 AUSTRALIA,-32.8966288,151.7024382,"University Drive, Callaghan, Newcastle, Newcastle-Maitland, Newcastle City Council, New South Wales, 2308, Australia"
Audiovisual Collections,Australian Institute of Aboriginal and Torres Strait Islander Studies,329537,Acton Peninsula Lawson Crescent ACTON ACT 2601 AUSTRALIA,,,
Augusta Historical Society Library,Augusta Historical Society,7944,AUGUSTA WA 6290 AUSTRALIA,-34.3156059,115.1605864,"Augusta, Shire Of Augusta Margaret River, Western Australia, 6290, Australia"
Augusta Public Library,Shire of Augusta-Margaret River Libraries,7473,Allnut Terrace AUGUSTA WA 6290 AUSTRALIA,-34.3184671,115.1587317,"Allnut Terrace, Augusta, Shire Of Augusta Margaret River, Western Australia, 6290, Australia"
Augustinian Province Library,"Order of Saint Augustine, Province of Australia",313,60 Federal Parade BROOKVALE NSW 2100 AUSTRALIA,-33.7599622,151.2786196,"Federal Parade, Brookvale, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2100, Australia"
Aurecon Pty Ltd - Melbourne,Aurecon Pty Ltd,8330,60 Albert Road SOUTH MELBOURNE VIC 3205 AUSTRALIA,-37.83431745,144.97096029185428,"60, Albert Road, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia"
Aurecon Pty Ltd - Sydney,Aurecon Pty Ltd,8331,"Library Level 2, 116 Military Road NEUTRAL BAY NSW 2089 AUSTRALIA",,,
Aurecon Pty Ltd Library - Brisbane,,310238,"Level 14, 32 Turbot Street BRISBANE QLD AUSTRALIA",,,
AusStage,,333338,Flinders University GPO Box 2100 ADELAIDE SA 5001 AUSTRALIA,,,
Ausdance National Library,Australian Dance Council - Ausdance Inc.,112128,Level 2 40 Mort Street BRADDON ACT 2612 AUSTRALIA,,,
Ausdance Victoria Library,Ausdance,4871,170 Southbank Boulevard SOUTHBANK VIC 3006 AUSTRALIA,-37.8231156,144.96538,"Southbank Boulevard, Southbank, Melbourne, City of Melbourne, Victoria, 3006, Australia"
Aussie Global Books,,330817,PO Box 600 Balwyn North VIC 3104 AUSTRALIA,,,
Austin Health Library,Austin Health,9814,"Level 4, Lance Townsend Building 145 Studley Rd HEIDELBERG VIC 3084 AUSTRALIA",,,
Austrade Research & Information Centre,Australian Trade and Investment Commission,16168,"Level 23, Aon Tower, 201 Kent Street SYDNEY NSW 2000 AUSTRALIA",,,
Austral Public School Library,Austral Public School,1607,Edmondson Ave AUSTRAL NSW 2171 AUSTRALIA,-33.9330917,150.8120433,"Edmondson Avenue, Austral, Sydney, Liverpool City Council, New South Wales, 2179, Australia"
Australasian College of Dermatologists Library,Australasian College of Dermatologists,9718,136 Pittwater Road GLADESVILLE NSW 2111 AUSTRALIA,-33.8295043,151.1278558,"Pittwater Road, Gladesville, Sydney, The Council of the Municipality of Hunters Hill, New South Wales, 2111, Australia"
Australasian College of Natural Therapies Library,Australasian College of Natural Therapies,4165,57-61 Foveaux Street SURRY HILLS NSW 2010 AUSTRALIA,-33.8837191,151.2089888,"Foveaux Street, Strawberry Hills, Surry Hills, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia"
Australasian Institute of Mining and Metallurgy Library,Australasian Institute of Mining and Metallurgy,2363,"Level 3, 15-31 Pelham Street CARLTON VIC 3053 AUSTRALIA",,,
Australasian Journal of Victorian Studies,,329417,Electronic Resource N/A VIC N/A AUSTRALIA,,,
Australasian Legal Information Institute,UNSW Sydney;University of Technology Sydney,337808,Data contributed via the ANDS Research Data Australia portal Sydney NSW AUSTRALIA,,,
Australia Post: POSTlibrary & Knowledge Centre,Australia Post,1300,Lvl 15 111 Bourke Street MELBOURNE VIC 3000 AUSTRALIA,,,
Australia's National Research Organisation for Women's Safety Library,,341761,"Level 11, 31 Market Street SYDNEY NSW 2000 AUSTRALIA",,,
AustraliaDancing,National Library of Australia - Resource Discovery Services,96023,"People Australia, Resource Discovery Services National Library of Australia PARKES ACT 2600 AUSTRALIA",,,
Australian Antarctic Division Library,"Department of Climate Change, Energy, the Environment and Water",9216,203 Channel Highway KINGSTON TAS 7050 AUSTRALIA,-42.9758002,147.3044938,"Channel Highway, Kingston Park, Kingston, Hobart, Kingborough, Tasmania, 7050, Australia"
Australian Army Museum of Western Australia,,9911,Artillery Barracks Burt St FREMANTLE WA AUSTRALIA,,,
Australian Business Library,Australian Business Ltd.,1710,"Level 11, 140 Arthur Street NORTH SYDNEY NSW 2060 AUSTRALIA",,,
Australian Business database,ABIX: Australasian Business Intelligence,8418,"Level 6, 67 Albert Avenue CHATSWOOD NSW 2067 AUSTRALIA",,,
Australian Capital Equity,,342003,30 Kings Park Road WEST PERTH WA 6005 AUSTRALIA,-31.951957450000002,115.83915911801628,"30, Kings Park Road, West Perth, Perth, City of Perth, Western Australia, 6005, Australia"
Australian Catholic University Library,Australian Catholic University,331477,"Bldg 502, James Carroll Building 40 Edward Street NORTH SYDNEY NSW 2060 AUSTRALIA",,,
Australian Centre for Photography Library,Australian Centre for Photography Ltd.,6372,257 Oxford Street PADDINGTON NSW 2021 AUSTRALIA,-33.8891174,151.2326744,"Oxford Street, Paddington, Eastern Suburbs, Sydney, Council of the City of Sydney, New South Wales, 2021, Australia"
Australian Centre for the Moving Image Collections,Australian Centre for the Moving Image,9613,222 Park Street SOUTH MELBOURNE VIC 3205 AUSTRALIA,-37.8345427,144.9639399,"Park Street, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia"
Australian Chamber Orchestra Library,Australian Chamber Orchestra Pty Ltd,7951,Opera Quays 2 East CIRCULAR QUAY NSW 2000 AUSTRALIA,,,
Australian Chiropractic College Library,,341920,Level 1 Dowie House 83-89 Currie Street ADELAIDE SA 5000 AUSTRALIA,,,
Australian College of Physical Education Library,Australian College of Physical Education,7878,"Level 3, Quad 4 10 Parkview Drive SYDNEY OLYMPIC PARK NSW 2127 AUSTRALIA",,,
Australian Commando Museum,Australian Commando Association,335097,Fort Gellibrand Morris Street Williamstown VIC 3016 AUSTRALIA,,,
Australian Contemporary Music Development Library,Australian Contemporary Music Development Company Ltd,1102,62-74 Pickles Street SOUTH MELBOURNE VIC 3205 AUSTRALIA,-37.840757100000005,144.94704823229702,"Albert Park College, 62-74, Pickles Street, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia"
Australian Copyright Council Library,Australian Copyright Council,8419,3/245 Chalmers Street REDFERN NSW 2016 AUSTRALIA,-33.8902966,151.2059563,"Chalmers Street, Redfern, Sydney, Council of the City of Sydney, New South Wales, 2016, Australia"
Australian Correspondence Schools Library,Australian Correspondence Schools,4590,129 San Fernando Drive WORONGARY QLD 4211 AUSTRALIA,-28.0359063,153.3413556,"San Fernando Drive, Worongary, Gold Coast City, Queensland, Australia"
Australian Credit Union Archives,Australian Credit Union Archives Trust,3441,"Suite 3, 59 Buckingham Street SURRY HILLS NSW 2010 AUSTRALIA",,,
Australian Croatian Association Library,Australian Croatian Association Melbourne,11439,72 Whitehall Street FOOTSCRAY VIC 3011 AUSTRALIA,-37.804100399999996,144.9041266499159,"Croatian House, 72, Whitehall Street, Footscray, Melbourne, City of Maribyrnong, Victoria, 3011, Australia"
Australian Dictionary of Biography Online,Australian National University,326997,"Australian Dictionary of Biography, Research School of Social Sciences Building 9, H C Coombs Building The Australian National University ACT 0200 AUSTRALIA",,,
Australian Directory of Electronic Literature and Text-based Art (ADELTA),Western Sydney University,339357,"ADELTA, Penrith Campus, Western Sydney University Second Avenue KINGSWOOD NSW 2747 AUSTRALIA",,,
Australian Education Research Organisation,,343301,c/- ESA level 22/180 Lonsdale Street MELBOURNE VIC 3000 AUSTRALIA,,,
Australian Education Research Organisation,,343301,c/- ESA level 22/180 Lonsdale Street MELBOURNE VIC 3000 AUSTRALIA,,,
Australian Elizabethan Theatre Trust,,339957,PO Box 1203 NEUTRAL BAY NSW 2089 AUSTRALIA,,,
Australian Emergency Management Library,,4303,"Australian Institute for Disaster Resilience Level 1, 340 Albert Street EAST MELBOURNE VIC 3002 AUSTRALIA",,,
Australian Federation of Employers and Industries.,Australian Federation of Employers and Industries,6939,"Level 2, 97-99 Bathurst Street SYDNEY NSW 2000 AUSTRALIA",,,
Australian Freethought Heritage Library,Council of Australian Humanist Societies,9278,4 Alandale Avenue BALWYN VIC AUSTRALIA,-37.8055106,145.0864563,"Alandale Avenue, Balwyn, Melbourne, City of Boroondara, Victoria, 3103, Australia"
Australian Garden History Society,,339897,Gate Lodge 100 Birdwood Avenue MELBOURNE VIC 5043 AUSTRALIA,,,
Australian Gliding Museum,,336101,20 Jensz Road Parwan VIC AUSTRALIA,-37.7348623,144.43587334478673,"Bacchus Marsh Gliding Club House;Bacchus Marsh Gliding Club, 20, Jensz Road, Parwan, Shire of Moorabool, Victoria, 3340, Australia"
Australian Golf Union Library,Australian Golf Union Incorporated,8420,Golf Australia House 153-155 Cecil Street SOUTH MELBOURNE VIC 3205 AUSTRALIA,,,
Australian Human Resources Institute,,330297,Level 13 565 Bourke Street MELBOURNE VIC 3000 AUSTRALIA,,,
Australian Human Rights Commission Library,Australian Human Rights Commission,4800,"Level 8, Piccadilly Tower 133 Castlereagh Street SYDNEY NSW 2000 AUSTRALIA",,,
Australian Human Rights Information Centre - Documentation Centre,UNSW Sydney,2288,Freehills Law Library University of New South Wales SYDNEY NSW 2052 AUSTRALIA,,,
Australian Industrial Chemicals Introduction Scheme (AICIS),,335257,"L7, 260 Elizabeth Street Surry Hills NSW 2010 AUSTRALIA",,,
Australian Industry Group Library,Australian Industry Group,7964,20 Queens Road MELBOURNE VIC 3004 AUSTRALIA,-37.8373319,144.9735305,"Queens Road, Melbourne, City of Port Phillip, Victoria, 3004, Australia"
Australian Institute of Business,,338757,"Level 16, 1 King William Street ADELAIDE SA 5000 AUSTRALIA",,,
Australian Institute of Genealogical Studies Library,Australian Institute of Genealogical Studies Inc.,6253,1/41 Railway Road BLACKBURN VIC 3130 AUSTRALIA,-37.8194181,145.1537111,"Railway Road, Blackburn, Melbourne, City of Whitehorse, Victoria, 3130, Australia"
Australian Institute of Higher Education,,328297,"Level 4, 451 Pitt St Sydney NSW 2000 AUSTRALIA",,,
Australian Institute of International Affairs - Victorian Branch Library,Australian Institute of International Affairs,149058,124-6 Jolimont Rd East Melbourne VIC 3002 AUSTRALIA,-37.8156995,144.9791139,"Jolimont Road, Jolimont, East Melbourne, Melbourne, City of Melbourne, Victoria, 3002, Australia"
Australian Institute of Management,Australian Institute of Management,7539,7 Macquarie Place SYDNEY NSW 2000 AUSTRALIA,-33.86250565,151.20971328960096,"7, Macquarie Place, Quay Quarter, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia"
Australian Institute of Music Library,Australian Institute of Music,7021,1-55 Foveaux Street Surry Hills NSW 2010 AUSTRALIA,-33.8837191,151.2089888,"Foveaux Street, Strawberry Hills, Surry Hills, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia"
Australian Institute of Police Management Library,Australian Federal Police;Australian Institute of Police Management,3794,Former School of Artillery North Head Scenic Drive MANLY NSW 2095 AUSTRALIA,,,
Australian Institute of Professional Counsellors Library,Australian Institute of Professional Counsellors,6917,47 Baxter Street FORTITUDE VALLEY QLD 4006 AUSTRALIA,-27.4545594,153.0325195,"Baxter Street, Fortitude Valley, Brisbane City, Queensland, 4006, Australia"
Australian International Christian School Library,Australian International Christian School,11412,76 Federal Highway WATSON ACT 2601 AUSTRALIA,-35.2361567,149.143668,"Federal Highway, Watson, Canberra, District of Canberra Central, Australian Capital Territory, 2602, Australia"
Australian International School Library,Australian International School,245,48a Oxford Street EPPING NSW 2121 AUSTRALIA,-33.7706595,151.083405,"48A, Oxford Street, Epping, Sydney, City of Parramatta Council, New South Wales, 2121, Australia"
Australian Jazz Museum,,8358,Koomba Park 15 Mountain Highway WANTIRNA VIC 3152 AUSTRALIA,,,
Australian Jewish Genealogical Society Library,Australian Jewish Genealogical Society,5196,PO Box 42 LANE COVE NSW 1595 AUSTRALIA,,,
Australian Jewish Historical Society Library,Australian Jewish Historical Society Inc.,9227,146 Darlinghurst Road DARLINGHURST NSW 2010 AUSTRALIA,-33.875451,151.2219356,"Darlinghurst Road, Darlinghurst, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia"
Australian Jewish Historical Society Victoria Inc Library,Australian Jewish Historical Society Victoria Inc,7956,Jewish Museum of Australia 26 Alma Road ST KILDA VIC 3182 AUSTRALIA,,,
Australian Jewish Historical Society: AJHS Journal,Australian Jewish Historical Society Inc.,342782,146 Darlinghurst Road DARLINGHURST NSW 2010 AUSTRALIA,-33.875451,151.2219356,"Darlinghurst Road, Darlinghurst, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia"
Australian Joint Copying Project,,341240,National Library of Australia Parkes Place PARKES ACT 2600 AUSTRALIA,,,
Australian Journal of Adoption,National Library of Australia,329319,Electronic Resource N/A ACT N/A AUSTRALIA,,,
Australian Labor Party - Castlemaine Branch,,342540,PO BOX 351 BENDIGO VIC 3552 AUSTRALIA,,,
Australian Lace Guild (Victorian Branch),,344002,PO Box 7086 Brighton VIC 3186 AUSTRALIA,,,
Australian Lebanese Historical Society,,164003,PO Box 712 COOGEE NSW 2034 AUSTRALIA,,,
Australian Listening Library,,299,"3rd Floor, 26 Ridge Street NORTH SYDNEY NSW 2060 AUSTRALIA",,,
Australian Meteorological Association,,341380,Australian Meteorological Association c/o Bureau of Meteorology (SA) 431 King William Street ADELAIDE SA 5000 AUSTRALIA,,,
Australian Mineral Ventures Library,,8422,7 Mouat Street FREMANTLE WA 6160 AUSTRALIA,-32.0553253,115.74311296122336,"7, Mouat Street, West End, Fremantle, City of Fremantle, Western Australia, 6160, Australia"
Australian Multicultural Community Services,,336150,Suite 111 44-56 Hampstead Rd Maidstone VIC AUSTRALIA,,,
Australian Museum Archives,Australian Museum,325777,6 College Street SYDNEY NSW 2019 AUSTRALIA,-33.8224527,151.1233771,"6, College Street, Gladesville, Sydney, Council of the City of Ryde, New South Wales, 2111, Australia"
Australian Museum Research Library,Australian Museum,7877,1 William Street SYDNEY NSW 2010 AUSTRALIA,,,
Australian Music Online,,60098,Level A 19 Boundary Street DARLINGHURST NSW 2010 AUSTRALIA,,,
Australian National Academy of Music,,329817,210 Bank Street South Melbourne VIC 3205 AUSTRALIA,-37.8339446,144.9616465,"Bank Street, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia"
Australian National Botanic Gardens Library,"Department of Climate Change, Energy, the Environment and Water",2083,"1st floor, Botany Building, Clunies Ross Street CANBERRA ACT 2600 AUSTRALIA",,,
Australian National Data Service,,331137,"ANDS Office Monash University Building F, Level 6, 900 Dandenong Road CAULFIELD EAST VIC 3145 AUSTRALIA",,,
Australian National Islamic Library,,125680,221 Clive Steele Avenue MONASH ACT AUSTRALIA,-35.4098416,149.1027674,"Clive Steele Avenue, Monash, District of Tuggeranong, Australian Capital Territory, 2904, Australia"
Australian National Museum of Education,,343060,"Building 5, BOX 24 University of Canberra CANBERRA ACT 2601 AUSTRALIA",,,
Australian National University Library,Australian National University,8719,"University Library, The Australian National University J.B. Chifley Building ACTON ACT 2601 AUSTRALIA",,,
Australian National University Online,Australian National University,333738,Australian National University ACTON ACT 0200 AUSTRALIA,-35.2813935,149.11714511802117,"Australian National University, LBG, Yukeembruk Village, Acton, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia"
Australian National University: Institutional Repository,Australian National University Library,334817,J.B. Chifley Building CANBERRA ACT 0200 AUSTRALIA,,,
Australian Newspaper Fiction Database,Australian National University,340037,"ANU College of Arts & Social Sciences Beryl Rawson Building, 13 Ellery Crescent CANBERRA ACT 2601 AUSTRALIA",,,
Australian Ocean Data Network,,337837,Australian Ocean Data Network (AODN) University of Tasmania TAS 7001 AUSTRALIA,,,
Australian Paralympic History Project,Australian Paralympic Committee,343241,"Building A, 1 Herb Elliott Avenue Olympic Park NSW 2127 AUSTRALIA",,,
Australian Pork,,334917,"Level 2, 2 Brisbane Avenue BARTON ACT 2600 AUSTRALIA",,,
Australian Prime Ministers Centre,,125039,"Australian Prime Ministers Centre, Old Parliament House 18 King George Terrace PARKES ACT 2600 AUSTRALIA",,,
Australian Quality Council Library,Australian Quality Council,9701,"Level 2, 69 Christie Street ST LEONARDS NSW 2560 AUSTRALIA",,,
Australian Queer Archives,,16392,79-81 Fitzroy Street ST KILDA VIC 3182 AUSTRALIA,-37.8607129,144.9759245,"Fitzroy Street, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia"
Australian Racing Museum,,5817,500 Epsom Road FLEMINGTON VIC 3031 AUSTRALIA,-37.7876601,144.9214903,"Epsom Road, Newmarket, Flemington, Melbourne, City of Melbourne, Victoria, 3031, Australia"
Australian Red Cross Lifeblood Library,Australian Red Cross Lifeblood - New South Wales,61680,17 O'Riordan St ALEXANDRIA NSW 2015 AUSTRALIA,-33.908136850000005,151.19976730301897,"Australian Red Cross Blood Service, 17, O'Riordan Street, Alexandria, Sydney, Council of the City of Sydney, New South Wales, 2015, Australia"
Australian Refugee Association,,91002,Director 304 Henley Beach Road UNDERDALE SA 5032 AUSTRALIA,,,
Australian Scenics,,17136,10/857 Doncaster Road EAST DONCASTER VIC 3109 AUSTRALIA,,,
Australian Script Centre Library,Australian Script Centre,11593,77 Salamanca Place HOBART TAS 7004 AUSTRALIA,-42.8871106,147.3334672,"The Kudelka Shop, 65-77, Salamanca Place, Battery Point, Hobart, City of Hobart, Tasmania, 7004, Australia"
Australian Society for Indigenous Languages,Summer Institute of Linguistics,3421,30 Georgina Cresent YARRAWONGA NT 0831 AUSTRALIA,,,
Australian Sound Design Project,University of Melbourne Australia Centre,60096,"Australia Centre, 137 Barry Street University of Melbourne CARLTON VIC 3053 AUSTRALIA",,,
Australian Speleological Federation Library,,343421,PO Box 388 BROADWAY NSW 2007 AUSTRALIA,,,
Australian Sugar Industry Museum Library,Australian Sugar Industry Museum,4880,Corner Bruce Highway & Peregrine Street MOURILYAN QLD 4860 AUSTRALIA,,,
Australian Technical College Nth Qld Learning Resource Centre,Australian Technical College North Queensland,193518,"Townsville Education Precinct, Discovery Drive Douglas QLD 4814 AUSTRALIA",,,
Australian Technical and Management College,,338517,"Level 2, 399 Lonsdale Street MELBOURNE VIC 3000 AUSTRALIA",,,
Australian Turkish Cultural Association Library,Australian Turkish Cultural Association,6665,85 Church Street RICHMOND VIC 3121 AUSTRALIA,-37.81377667213115,145.00030987431694,"85, Church Street, Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia"
Australian Unity Friendly Society Library,Australian Unity Friendly Society,5075,114 Albert Road SOUTH MELBOURNE VIC 3205 AUSTRALIA,-37.83565565,144.96982986882,"Australian Unity Building, 114, Albert Road, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia"
Australian Vietnamese Women's Welfare Association,,91003,30 - 32 Lennox Street NORTH rICHMOND VIC 3121 AUSTRALIA,,,
Australian Water Environments,,325877,1/198 Greenhill Road EASTWOOD SA 5063 AUSTRALIA,-34.9402103,138.6243697,"Greenhill Road, Eastwood, Adelaide, City of Burnside, South Australia, 5063, Australia"
Australian Women's Register,The University of Melbourne,327737,"Australian Women's Archives Project The e-Scholarship Research Centre, University of Melbourne PARKVILLE VIC 3010 AUSTRALIA",,,
Australind Family History Society Inc. Library,Australind Family History Society Inc.,6338,Rear of Australind Public Library 17 Latour St AUSTRALIND WA 6233 AUSTRALIA,,,
Australind Public Library,Shire of Harvey Libraries,5503,Paris Road AUSTRALIND WA 6233 AUSTRALIA,-33.2732441,115.7397658,"Paris Road, Australind, Shire Of Harvey, Western Australia, 6233, Australia"
Australind SHS Library,Australind Senior High School,9015,Break O'Day Drive AUSTRALIND WA 6233 AUSTRALIA,-33.2757648,115.7287203,"Break O'Day Drive, Australind, Shire Of Harvey, Western Australia, 6233, Australia"
Austroads,,335457,"Suite 2, Level 9 287 Elizabeth Street SYDNEY NSW 2000 AUSTRALIA",,,
Autism SA Resource Centre,Autism SA,5904,262 Marion Road Netley SA 5037 AUSTRALIA,-34.9539809,138.5539816,"Marion Road, Netley, Adelaide, City of West Torrens, South Australia, 5037, Australia"
Autism Victoria Library,Autism Victoria Family Support and Information Services,7643,24 DRUMMOND STREET CARLTON VIC 3053 AUSTRALIA,-37.806413750000004,144.96790740071054,"24, Drummond Street, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia"
Avalon Community Library,Northern Beaches Library Service,5384,Avalon Recreation Centre 59a Old Barrenjoey Rd AVALON BEACH NSW 2107 AUSTRALIA,,,
Avalon Public School Library,Avalon Public School,5306,Old Barrenjoey Rd AVALON BEACH NSW 2107 AUSTRALIA,-33.6347548,151.3305285,"Old Barrenjoey Road, Avalon Beach, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2107, Australia"
Aviation Research Library,Australian Aviation Museum,112121,Starkie Drive Bankstown Airport BANKSTOWN NSW 2200 AUSTRALIA,,,
Avicultural Library,Queensland Finch Society Inc.,5666,Queensland Finch Society Brisbane QLD 4151 AUSTRALIA,,,
Avoca & District Historical Society Library,Avoca and District Historical Society Inc.,6438,Old Avoca Courthouse 85 High Street AVOCA VIC 3467 AUSTRALIA,,,
Avoca Resource Centre,Central Highlands Libraries,3588,122 High Street AVOCA VIC 3467 AUSTRALIA,,,
Avondale Heights Library & Learning Centre,Moonee Valley Libraries,3646,"69-79 Military Road, AVONDALE HEIGHTS VIC 3034 AUSTRALIA",-37.7636915,144.8626401,"Military Road, Avondale Heights, Melbourne, City of Moonee Valley, Victoria, 3034, Australia"
Avondale Lake Macquarie Library,Avondale University,8252,582 Freemans Drive COORANBONG NSW 2265 AUSTRALIA,-33.0781885,151.449591,"Freemans Drive, Cooranbong, Lake Macquarie City Council, New South Wales, 2265, Australia"
Avondale Sydney Library,Avondale University,9768,"Avondale Sydney Library Clinical Education Centre, 185 Fox Valley Road WAHROONGA NSW 2076 AUSTRALIA",,,
Axel Stenross Museum Library,Axel Stenross Museum,5818,97 Lincoln Highway PORT LINCOLN SA AUSTRALIA,-34.7113481,135.8531632,"Lincoln Highway, Port Lincoln, City of Port Lincoln, South Australia, 5606, Australia"
B-24 Liberator Memorial Restoration Australia Inc,,336119,Corner Farm Road and Princes Highway Werribee VIC AUSTRALIA,,,
